l2_requirement_id,l3_requirement_id
L2-requirement-0001,L3-subsystem1-0011
L2-requirement-0001,L3-subsystem2-0014
L2-requirement-0003,L3-subsystem2-0016
L2-requirement-0004,L3-subsystem1-0017
L2-requirement-0005,L3-subsystem1-0004
L2-requirement-0005,L3-subsystem1-0005
L2-requirement-0005,L3-subsystem1-0012
L2-requirement-0005,L3-subsystem2-0003
L2-requirement-0005,L3-subsystem2-0005
L2-requirement-0005,L3-subsystem2-0015
L2-requirement-0006,L3-subsystem1-0018
L2-requirement-0007,L3-subsystem1-0002
L2-requirement-0007,L3-subsystem2-0002
L2-requirement-0008,L3-subsystem1-0019
L2-requirement-0008,L3-subsystem2-0017
L2-requirement-0010,L3-subsystem1-0020
L2-requirement-0012,L3-subsystem1-0006
L2-requirement-0012,L3-subsystem2-0008
L2-requirement-0012,L3-subsystem2-0018
L2-requirement-0013,L3-subsystem1-0010
L2-requirement-0015,L3-subsystem1-0013
L2-requirement-0015,L3-subsystem2-0009
L2-requirement-0016,L3-subsystem1-0001
L2-requirement-0016,L3-subsystem2-0006
L2-requirement-0017,L3-subsystem1-0014
L2-requirement-0017,L3-subsystem2-0001
L2-requirement-0019,L3-subsystem1-0007
L2-requirement-0019,L3-subsystem2-0019
L2-requirement-0019,L3-subsystem2-0020
L2-requirement-0020,L3-subsystem1-0015
L2-requirement-0020,L3-subsystem1-0016
L2-requirement-0020,L3-subsystem2-0010
L2-requirement-0020,L3-subsystem2-0011
L2-requirement-0020,L3-subsystem2-0013
